Model,Type,Count,Time_Seconds,CPU_Percent,Mem_KB,Disk_Writes
Thread,cpu,1,0.00,50%,1536,0
Thread,cpu,2,0.00,50%,1536,0
Thread,cpu,4,0.00,100%,1536,0
Thread,cpu,8,0.00,100%,1664,0
Thread,cpu,16,0.00,175%,1664,0
Thread,cpu,32,0.01,160%,1664,0
Thread,cpu,64,0.01,150%,1792,0
Thread,mem,1,16.70,99%,66944,0
Thread,mem,2,14.11,199%,132608,0
Thread,mem,4,15.07,399%,263680,0
Thread,mem,8,22.80,794%,525952,0
Thread,mem,16,35.75,1183%,1049856,0
Thread,mem,32,80.96,1191%,2098688,0
Thread,mem,64,241.01,1129%,3529216,0
Thread,io,1,22.08,3%,1536,64128
Thread,io,2,45.24,3%,1536,128256
Thread,io,4,54.56,6%,1536,256512
Thread,io,8,87.19,10%,1664,513024
Thread,io,16,119.35,29%,1664,1026048
Thread,io,32,174.86,28%,1664,2052096
Thread,io,64,178.85,67%,1792,4104192
